[213] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 798ms
[212] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 859ms
[235] URL: https://www.google.com | Código: 200 | Tiempo: 458ms
[227] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 636ms
[216] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 806ms
[237] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 557ms
[226] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 685ms
[236] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 674ms
[208] URL: https://www.gnu.org | Código: 200 | Tiempo: 1228ms
[214] URL: https://example.com | Código: 200 | Tiempo: 1074ms
[221] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 996ms
[240] URL: https://www.mozilla.org | Código: 200 | Tiempo: 602ms
[224] URL: https://example.com | Código: 200 | Tiempo: 969ms
[223] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1071ms
[231] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1103ms
[232] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1103ms
[228] URL: https://www.gnu.org | Código: 200 | Tiempo: 1140ms
[242] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 849ms
[245] URL: https://www.google.com | Código: 200 | Tiempo: 771ms
[218] URL: https://www.gnu.org | Código: 200 | Tiempo: 1258ms
[222] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1321ms
[255] URL: https://www.google.com | Código: 200 | Tiempo: 675ms
[250] URL: https://www.mozilla.org | Código: 200 | Tiempo: 698ms
[247] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 860ms
[234] URL: https://example.com | Código: 200 | Tiempo: 1247ms
[246] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 918ms
[241] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1027ms
[260] URL: https://www.mozilla.org | Código: 200 | Tiempo: 760ms
[233] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1387ms
[249] URL: https://www.kernel.org | Código: 200 | Tiempo: 832ms
[259] URL: https://www.kernel.org | Código: 200 | Tiempo: 776ms
[252] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 867ms
[257] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 793ms
[243] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1180ms
[261] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 955ms
[269] URL: https://www.kernel.org | Código: 200 | Tiempo: 609ms
[265] URL: https://www.google.com | Código: 200 | Tiempo: 649ms
[238] URL: https://www.gnu.org | Código: 200 | Tiempo: 1532ms
[253] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1140ms
[267] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 762ms
[266] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 763ms
[254] URL: https://example.com | Código: 200 | Tiempo: 1153ms
[270] URL: https://www.mozilla.org | Código: 200 | Tiempo: 636ms
[251] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1243ms
[256] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 1242ms
[262] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1110ms
[263] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1090ms
[275] URL: https://www.google.com | Código: 200 | Tiempo: 480ms
[244] URL: https://example.com | Código: 200 | Tiempo: 1569ms
[248] URL: https://www.gnu.org | Código: 200 | Tiempo: 1564ms
[271] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 875ms
[279] URL: https://www.kernel.org | Código: 200 | Tiempo: 422ms
[280] URL: https://www.mozilla.org | Código: 200 | Tiempo: 464ms
[277] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 605ms
[264] URL: https://example.com | Código: 200 | Tiempo: 1157ms
[276] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 760ms
[258] URL: https://www.gnu.org | Código: 200 | Tiempo: 1577ms
[273] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 956ms
[272] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1009ms
[289] URL: https://www.kernel.org | Código: 200 | Tiempo: 345ms
[285] URL: https://www.google.com | Código: 200 | Tiempo: 448ms
[295] URL: https://www.google.com | Código: 200 | Tiempo: 360ms
[290] URL: https://www.mozilla.org | Código: 200 | Tiempo: 443ms
[274] URL: https://example.com | Código: 200 | Tiempo: 1058ms
[268] URL: https://www.gnu.org | Código: 200 | Tiempo: 1379ms
[287] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 584ms
[286] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 775ms
[299] URL: https://www.kernel.org | Código: 200 | Tiempo: 656ms
[278] URL: https://www.gnu.org | Código: 200 | Tiempo: 1218ms
[281] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1080ms
[283] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1012ms
[284] URL: https://example.com | Código: 200 | Tiempo: 1017ms
[282] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1022ms
[305] URL: https://www.google.com | Código: 200 | Tiempo: 713ms
[309] URL: https://www.kernel.org | Código: 200 | Tiempo: 671ms
[300] URL: https://www.mozilla.org | Código: 200 | Tiempo: 899ms
[315] URL: https://www.google.com | Código: 200 | Tiempo: 756ms
[293] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1108ms
[307] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 892ms
[291] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1145ms
[310] URL: https://www.mozilla.org | Código: 200 | Tiempo: 915ms
[320] URL: https://www.mozilla.org | Código: 200 | Tiempo: 731ms
[292] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 1121ms
